year,recipient_id,recipient_name,recipient_postcode,recipient_location,agency,scheme,amount,country,currency
2015,GB-LN4-Beeswax Farming (Rainbow) Ltd,Beeswax Farming (Rainbow) Ltd,LN4,LINCOLN,RPA,Single area payment scheme,"1,393,534.29",GB,GBP
2014,GB-CV8-Agriculture and Horticulture Development Board,Agriculture and Horticulture Development Board,CV8,KENILWORTH,RPA,Vocational training and information actions,"1,377,855.76",GB,GBP
2014,GB-PL15-Forest of Dartmoor Commoners Association,Forest of Dartmoor Commoners Association,PL15,LAUNCESTON,RPA,Agri-environment payments,"1,359,604.71",GB,GBP
2014,GB-BT74-FERMANAGH DISTRICT COUNCIL,FERMANAGH DISTRICT COUNCIL,BT74,ENNISKILLEN,DARDNI,Implementing local development strategies. Quality of life/diversification,"1,355,030.97",GB,GBP
2015,GB-OX18-John F Hartz,John F Hartz,OX18,OXON,SGRPID,Investment in forest area development and improvement of the viability of forests,"1,318,912.12",GB,GBP
2015,GB-AB37-Ballindalloch Distillery LLP,Ballindalloch Distillery LLP,AB37,Ballindalloch,SGRPID,Investments in physical assets,"1,273,123.3",GB,GBP
2015,GB-KY13-John Fergus & Company Ltd,John Fergus & Company Ltd,KY13,MILNATHORT,SGRPID,Investments in physical assets,"1,263,294.0",GB,GBP
2014,GB-WR5-Natural England,Natural England,WR5,WORCESTER,RPA,Vocational training and information actions,"1,229,360.02",GB,GBP
2015,GB-TD9-R J & T J & M T Feakins,R J & T J & M T Feakins,TD9,HAWICK,SGRPID,Single area payment scheme,"1,226,161.83",GB,GBP
2014,GB-BS37-Beeswax Farming (Rainbow) Ltd,Beeswax Farming (Rainbow) Ltd,BS37,BRISTOL,RPA,Single area payment scheme,"1,222,835.93",GB,GBP
2015,GB-CF5-UNIVERSITY OF WALES INSTITUTE CARDI,UNIVERSITY OF WALES INSTITUTE CARDI,CF5,CARDIFF,WG,Adding value to agricultural and forestry products,"1,217,706.55",GB,GBP
2014,GB-LN4-BLANKNEY ESTATES LTD,BLANKNEY ESTATES LTD,LN4,LINCOLN,RPA,Single area payment scheme,"1,209,506.81",GB,GBP
2014,GB-BS16-Forestry Commission England,Forestry Commission England,BS16,BRISTOL,RPA,Encouragement of tourism activities,"1,187,875.31",GB,GBP
2014,GB-CM3-STRUTT & PARKER (FARMS) LTD,STRUTT & PARKER (FARMS) LTD,CM3,CHELMSFORD,RPA,Single area payment scheme,"1,185,828.28",GB,GBP
2015,GB-BT71-NORTHWAY MUSHROOMS LTD,NORTHWAY MUSHROOMS LTD,BT71,BLACKWATERTOWN,RPA,Aid in fruit and vegetables sector,"1,176,069.92",GB,GBP
2015,GB-ME13-THE ASPLINS PRODUCER ORGANISATION LTD,THE ASPLINS PRODUCER ORGANISATION LTD,ME13,FAVERSHAM,RPA,Aid in fruit and vegetables sector,"1,175,170.6",GB,GBP
2015,GB-TR4-CORNISH SCRUMPY CO LTD,CORNISH SCRUMPY CO LTD,TR4,TRURO,RPA,Adding value to agricultural and forestry products,"1,167,526.33",GB,GBP
2014,GB-PH36-ADELPHI DISTILLERY LTD,ADELPHI DISTILLERY LTD,PH36,Ardnamuchan,SGRPID,Adding value to agricultural and forestry products,"1,148,736.0",GB,GBP
2014,GB-BT71-NORTHWAY MUSHROOMS LTD,NORTHWAY MUSHROOMS LTD,BT71,BLACKWATERTOWN,RPA,Aid in fruit and vegetables sector,"1,135,788.02",GB,GBP
2014,GB-PL22-Cornish Farm Dairy Ltd,Cornish Farm Dairy Ltd,PL22,LOSTWITHIEL,RPA,Adding value to agricultural and forestry products,"1,127,457.13",GB,GBP
2014,GB-PE20-SPECIALITY PRODUCE LTD,SPECIALITY PRODUCE LTD,PE20,BOSTON,RPA,Aid in fruit and vegetables sector,"1,117,612.79",GB,GBP
2015,GB-PR7-J & B WOODCOCK & SONS,J & B WOODCOCK & SONS,PR7,CHORLEY,RPA,Adding value to agricultural and forestry products,"1,107,202.36",GB,GBP
2015,GB-DN21-Woldgrain Storage Ltd,Woldgrain Storage Ltd,DN21,GAINSBOROUGH,RPA,Adding value to agricultural and forestry products,"1,099,759.6",GB,GBP
2015,GB-LN4-BLANKNEY ESTATES LTD,BLANKNEY ESTATES LTD,LN4,LINCOLN,RPA,Single area payment scheme,"1,095,323.3",GB,GBP
2015,GB-CM3-STRUTT & PARKER (FARMS) LTD,STRUTT & PARKER (FARMS) LTD,CM3,CHELMSFORD,RPA,Single area payment scheme,"1,071,937.02",GB,GBP
2014,GB-W1J-Sir Richard Sutton Estates Limited,Sir Richard Sutton Estates Limited,W1J,LONDON,RPA,Single area payment scheme,"1,070,781.25",GB,GBP
2014,GB-EX2-Devon County Council,Devon County Council,EX2,Exeter,RPA,Encouragement of tourism activities,"1,070,223.12",GB,GBP
2014,GB-CM3-STANFORD SHEEP,STANFORD SHEEP,CM3,CHELMSFORD,RPA,Single area payment scheme,"1,039,888.28",GB,GBP
2014,GB-KY15-William Hamilton And Son (No 2),William Hamilton And Son (No 2),KY15,CUPAR,SGRPID,Single area payment scheme,"1,003,089.82",GB,GBP
2015,GB-KA5-Catrine Community Trust,Catrine Community Trust,KA5,Catrine,SGRPID,Basic services and village renewal in rural areas,"1,002,409.29",GB,GBP
2014,GB-WR5-Natural England,Natural England,WR5,WORCESTER,RPA,Single area payment scheme,"985,005.51",GB,GBP
2014,GB-NE71-LILBURN ESTATES FARMING PARTNERSHIP,LILBURN ESTATES FARMING PARTNERSHIP,NE71,WOOLER,RPA,Single area payment scheme,"983,303.25",GB,GBP
2014,GB-IP24-ELVEDEN FARMS LIMITED,ELVEDEN FARMS LIMITED,IP24,THETFORD,RPA,Single area payment scheme,"980,774.47",GB,GBP
2015,GB-PE38-WALDERSEY FARMS LTD,WALDERSEY FARMS LTD,PE38,DOWNHAM MARKET,RPA,Single area payment scheme,"979,434.77",GB,GBP
2014,GB-TR1-Cornwall Development Company Ltd,Cornwall Development Company Ltd,TR1,TRURO,RPA,Implementing local development strategies. Quality of life/diversification,"971,203.94",GB,GBP
2014,GB-AB38-Strathdee Properties Ltd,Strathdee Properties Ltd,AB38,Aberlour,SGRPID,Single area payment scheme,"968,101.44",GB,GBP
2015,GB-W1J-Sir Richard Sutton Estates Limited,Sir Richard Sutton Estates Limited,W1J,LONDON,RPA,Single area payment scheme,"963,706.98",GB,GBP
2014,GB-LE3-PARKERS OF LEICESTER LTD,PARKERS OF LEICESTER LTD,LE3,LEICESTER,RPA,Single area payment scheme,"962,812.93",GB,GBP
2015,GB-CM3-STANFORD SHEEP,STANFORD SHEEP,CM3,CHELMSFORD,RPA,Single area payment scheme,"943,777.11",GB,GBP
2015,GB-WR5-Natural England,Natural England,WR5,WORCESTER,RPA,Single area payment scheme,"940,524.22",GB,GBP
2015,GB-CO10-Strathvaich Farms LLP,Strathvaich Farms LLP,CO10,SUDBURY,SGRPID,Investment in forest area development and improvement of the viability of forests,"939,043.3",GB,GBP
2015,GB-PE16-GREENSHOOTS LTD,GREENSHOOTS LTD,PE16,CHATTERIS,RPA,Aid in fruit and vegetables sector,"930,054.0",GB,GBP
2014,GB-PE38-WALDERSEY FARMS LTD,WALDERSEY FARMS LTD,PE38,DOWNHAM MARKET,RPA,Single area payment scheme,"926,970.91",GB,GBP
2015,GB-NE71-LILBURN ESTATES FARMING PARTNERSHIP,LILBURN ESTATES FARMING PARTNERSHIP,NE71,WOOLER,RPA,Single area payment scheme,"919,573.82",GB,GBP
2014,GB-DN21-Woldgrain Storage Ltd,Woldgrain Storage Ltd,DN21,GAINSBOROUGH,RPA,Adding value to agricultural and forestry products,"917,930.0",GB,GBP
2014,GB-ME13-THE ASPLINS PRODUCER ORGANISATION LTD,THE ASPLINS PRODUCER ORGANISATION LTD,ME13,FAVERSHAM,RPA,Aid in fruit and vegetables sector,"915,897.89",GB,GBP
2014,GB-AB43-Ross Bros,Ross Bros,AB43,FRASERBURGH,SGRPID,Single area payment scheme,"901,423.61",GB,GBP
2014,GB-PE12-MOULTON BULB CO. LTD.,MOULTON BULB CO. LTD.,PE12,SPALDING,RPA,Adding value to agricultural and forestry products,"900,333.61",GB,GBP
2014,GB-LN4-BLANKNEY ESTATES LTD,BLANKNEY ESTATES LTD,LN4,LINCOLN,RPA,Infrastructure related to the development and adaptation of agriculture and forestry,"899,120.02",GB,GBP
2015,GB-LE3-PARKERS OF LEICESTER LTD,PARKERS OF LEICESTER LTD,LE3,LEICESTER,RPA,Single area payment scheme,"896,265.85",GB,GBP
2015,GB-IP24-ELVEDEN FARMS LIMITED,ELVEDEN FARMS LIMITED,IP24,THETFORD,RPA,Single area payment scheme,"887,538.89",GB,GBP
2014,GB-CB9-Thurlow Estate Farms Ltd,Thurlow Estate Farms Ltd,CB9,HAVERHILL,RPA,Single area payment scheme,"883,470.49",GB,GBP
2014,GB-BT80-COOKSTOWN DISTRICT COUNCIL,COOKSTOWN DISTRICT COUNCIL,BT80,COOKSTOWN,DARDNI,Implementing local development strategies. Quality of life/diversification,"876,386.96",GB,GBP
2015,GB-IV3-Torsa Holdings Ltd,Torsa Holdings Ltd,IV3,INVERNESS,SGRPID,Investment in forest area development and improvement of the viability of forests,"876,006.69",GB,GBP
2014,GB-BT27-LISBURN CITY COUNCIL,LISBURN CITY COUNCIL,BT27,LISBURN,DARDNI,Implementing local development strategies. Quality of life/diversification,"867,570.47",GB,GBP
2014,GB-NR1-Norfolk County Council,Norfolk County Council,NR1,NORWICH,RPA,Implementing local development strategies. Quality of life/diversification,"850,692.38",GB,GBP
2014,GB-TN12-COTTAGE FARMS (HORSMONDEN) LTD,COTTAGE FARMS (HORSMONDEN) LTD,TN12,TONBRIDGE,RPA,Adding value to agricultural and forestry products,"849,832.63",GB,GBP
2014,GB-YO42-WARTER PRIORY FARMS,WARTER PRIORY FARMS,YO42,YORK,RPA,Single area payment scheme,"842,733.99",GB,GBP
2015,GB-AB38-Strathdee Properties Ltd,Strathdee Properties Ltd,AB38,ABERLOUR,SGRPID,Single area payment scheme,"817,778.9",GB,GBP
2014,GB-B61-Bumblehole Eggs Ltd,Bumblehole Eggs Ltd,B61,BROMSGROVE,RPA,Adding value to agricultural and forestry products,"810,227.43",GB,GBP
2014,GB-NR1-NORFOLK WILDLIFE TRUST,NORFOLK WILDLIFE TRUST,NR1,NORWICH,RPA,Agri-environment payments,"802,115.38",GB,GBP
2015,GB-CB9-Thurlow Estate Farms Ltd.,Thurlow Estate Farms Ltd.,CB9,Haverhill,RPA,Single area payment scheme,"801,326.24",GB,GBP
2014,GB-BT71-COUNTRYSIDE SERVICES LIMITED,COUNTRYSIDE SERVICES LIMITED,BT71,DUNGANNON,DARDNI,Vocational training and information actions,"795,065.38",GB,GBP
2014,GB-PE16-GREENSHOOTS LTD,GREENSHOOTS LTD,PE16,CHATTERIS,RPA,Aid in fruit and vegetables sector,"794,332.34",GB,GBP
2015,GB-YO42-WARTER PRIORY FARMS,WARTER PRIORY FARMS,YO42,YORK,RPA,Single area payment scheme,"792,413.9",GB,GBP
2014,GB-DY9-VISCOUNT COBHAM HAGLEY ESTATE,VISCOUNT COBHAM HAGLEY ESTATE,DY9,STOURBRIDGE,RPA,Non-productive investments,"789,839.68",GB,GBP
2014,GB-SN9-SARGENT & WAIGHT,SARGENT & WAIGHT,SN9,PEWSEY,RPA,Single area payment scheme,"785,464.38",GB,GBP
2014,GB-SN10-G COLLINS (FARMS) LTD,G COLLINS (FARMS) LTD,SN10,DEVIZES,RPA,Single area payment scheme,"785,187.5",GB,GBP
2015,GB-SA62-PUFFIN PRODUCE LTD,PUFFIN PRODUCE LTD,SA62,PEMBROKESHIRE,WG,Adding value to agricultural and forestry products,"780,620.91",GB,GBP
2014,GB-BT53-BALLYMONEY BOROUGH COUNCIL,BALLYMONEY BOROUGH COUNCIL,BT53,BALLYMONEY,DARDNI,Implementing local development strategies. Quality of life/diversification,"779,394.1",GB,GBP
2014,GB-PE28-AGRESERVES LTD,AGRESERVES LTD,PE28,HUNTINGDON,RPA,Single area payment scheme,"774,903.36",GB,GBP
2015,GB-EH12-RSPB,RSPB,EH12,EDINBURGH,SGRPID,Agri-environment-climate,"773,279.26",GB,GBP
2015,GB-BT30-NEWRY MOURNE & DOWN DIST COUNCIL,NEWRY MOURNE & DOWN DIST COUNCIL,BT30,DOWNPATRICK,DAERA,Implementing local development strategies. Quality of life/diversification,"770,117.73",GB,GBP
2014,GB-DN21-LIMESTONE FARMING CO. LTD.,LIMESTONE FARMING CO. LTD.,DN21,GAINSBOROUGH,RPA,Single area payment scheme,"769,097.19",GB,GBP
2015,GB-YO1-Natural England,Natural England,YO1,YORK,RPA,Technical Assistance,"766,742.0",GB,GBP
2015,GB-LN6-COOL MILK AT SCHOOL LTD,COOL MILK AT SCHOOL LTD,LN6,LINCOLN,RPA,School milk scheme,"766,077.69",GB,GBP
2015,GB-SN2-National Trust,National Trust,SN2,SWINDON,RPA,Non-productive investments,"762,576.24",GB,GBP
2014,GB-BT52-COLERAINE BOROUGH COUNCIL,COLERAINE BOROUGH COUNCIL,BT52,COLERAINE,DARDNI,Implementing local development strategies. Quality of life/diversification,"761,622.47",GB,GBP
2015,GB-AB43-Ross Bros,Ross Bros,AB43,FRASERBURGH,SGRPID,Single area payment scheme,"761,439.58",GB,GBP
2015,GB-PE28-AGRESERVES LTD,AGRESERVES LTD,PE28,HUNTINGTON,RPA,Single area payment scheme,"760,920.65",GB,GBP
2014,GB-DG2-G Barbour & Co,G Barbour & Co,DG2,Dumfries,SGRPID,Single area payment scheme,"757,999.46",GB,GBP
2015,GB-SN9-SARGENT & WAIGHT,SARGENT & WAIGHT,SN9,PEWSEY,RPA,Single area payment scheme,"754,256.61",GB,GBP
2014,GB-CO10-Strathvaich Farms LLP,Strathvaich Farms LLP,CO10,Sudbury,SGRPID,First afforestation of agricultural land,"753,557.23",GB,GBP
2015,GB-AB35-Invercauld Estates,Invercauld Estates,AB35,BALLATER,SGRPID,Investment in forest area development and improvement of the viability of forests,"753,551.03",GB,GBP
2014,GB-BT47-DERRY COUNTY COMMITTEE,DERRY COUNTY COMMITTEE,BT47,LONDONDERRY,DARDNI,Implementing local development strategies. Quality of life/diversification,"746,365.13",GB,GBP
2014,GB-LD2-POWYS REGENERATION PARTNERSHIP,POWYS REGENERATION PARTNERSHIP,LD2,POWYS,WG,Encouragement of tourism activities,"745,880.3",GB,GBP
2015,GB-IV7-Gairloch & Conon Estate,Gairloch & Conon Estate,IV7,CONON BRIDGE,SGRPID,Investment in forest area development and improvement of the viability of forests,"738,807.4",GB,GBP
2015,GB-SN10-G COLLINS (FARMS) LTD,G COLLINS (FARMS) LTD,SN10,DEVIZES,RPA,Single area payment scheme,"737,646.75",GB,GBP
2014,GB-NG33-Buckminster Farms Limited,Buckminster Farms Limited,NG33,GRANTHAM,RPA,Single area payment scheme,"731,911.73",GB,GBP
2014,GB-LL15-CADWYN CLWYD CYFYNGEDIG LTD,CADWYN CLWYD CYFYNGEDIG LTD,LL15,DENBIGHSHIRE,WG,Implementing local development strategies. Quality of life/diversification,"728,469.61",GB,GBP
2015,GB-PR8-Dobson & Sons T,Dobson & Sons T,PR8,Southport,RPA,Adding value to agricultural and forestry products,"726,419.58",GB,GBP
2015,GB-EH28-Quality Meat Scotland,Quality Meat Scotland,EH28,NEWBRIDGE,RPA,Promotion measures,"722,949.7",GB,GBP
2014,GB-PR7-J & B WOODCOCK & SONS,J & B WOODCOCK & SONS,PR7,CHORLEY,RPA,Adding value to agricultural and forestry products,"721,764.12",GB,GBP
2014,GB-SN8-R G MAY & SONS,R G MAY & SONS,SN8,MARLBOROUGH,RPA,Adding value to agricultural and forestry products,"716,905.68",GB,GBP
2014,GB-SO32-The Hampshire and Isle of Wight Wildlife Trust,The Hampshire and Isle of Wight Wildlife Trust,SO32,SOUTHAMPTON,RPA,Agri-environment payments,"713,832.1",GB,GBP
2015,GB-SO23-HAMPSHIRE COUNTY COUNCIL,HAMPSHIRE COUNTY COUNCIL,SO23,WINCHESTER,RPA,Single area payment scheme,"712,500.02",GB,GBP
2015,GB-DN21-LIMESTONE FARMING CO. LTD.,LIMESTONE FARMING CO. LTD.,DN21,GAINSBOROUGH,RPA,Single area payment scheme,"711,081.92",GB,GBP
2014,GB-W1J-Sir Richard Sutton Estates Limited,Sir Richard Sutton Estates Limited,W1J,LONDON,RPA,Agri-environment payments,"705,418.12",GB,GBP
2014,GB-SN7-COMPTON BEAUCHAMP ESTATES LIMITED,COMPTON BEAUCHAMP ESTATES LIMITED,SN7,FARINGDON,RPA,Single area payment scheme,"702,476.14",GB,GBP
2014,GB-LN6-COOL MILK AT SCHOOL LTD,COOL MILK AT SCHOOL LTD,LN6,LINCOLN,RPA,School milk scheme,"700,940.37",GB,GBP
2014,GB-IP31-FREDERICK HIAM LTD,FREDERICK HIAM LTD,IP31,BURY ST. EDMUNDS,RPA,Single area payment scheme,"699,380.76",GB,GBP
2014,GB-EH28-Quality Meat Scotland,Quality Meat Scotland,EH28,MIDLOTHIAN,RPA,Promotion measures,"696,180.86",GB,GBP
2014,GB-BT71-COUNTRYSIDE SERVICES LIMITED,COUNTRYSIDE SERVICES LIMITED,BT71,DUNGANNON,DARDNI,Technical Assistance,"696,130.37",GB,GBP
2014,GB-BT42-BALLYMENA BOROUGH COUNCIL,BALLYMENA BOROUGH COUNCIL,BT42,BALLYMENA,DARDNI,Implementing local development strategies. Quality of life/diversification,"690,000.0",GB,GBP
2014,GB-BT79-LOUGHMACRORY COMMUNITY DEVELOPMENT ASSOCIATION,LOUGHMACRORY COMMUNITY DEVELOPMENT ASSOCIATION,BT79,OMAGH,DARDNI,Implementing local development strategies. Quality of life/diversification,"689,799.17",GB,GBP
2014,GB-CB6-AL Lee Farming Company,AL Lee Farming Company,CB6,ELY,RPA,Single area payment scheme,"685,579.81",GB,GBP
2015,GB-IV16-Novar Farms,Novar Farms,IV16,DINGWALL,SGRPID,Investment in forest area development and improvement of the viability of forests,"685,068.78",GB,GBP
2015,GB-IP31-FREDERICK HIAM LTD,FREDERICK HIAM LTD,IP31,BURY ST. EDMUNDS,RPA,Single area payment scheme,"681,059.46",GB,GBP
2014,GB-DL13-Bowes Moor HLS,Bowes Moor HLS,DL13,BISHOP AUCKLAND,RPA,Agri-environment payments,"671,594.83",GB,GBP
2015,GB-NG33-Buckminster Farms Limited,Buckminster Farms Limited,NG33,GRANTHAM,RPA,Single area payment scheme,"671,135.5",GB,GBP
2015,GB-KY15-William Hamilton And Son (No 2),William Hamilton And Son (No 2),KY15,CUPAR,SGRPID,Single area payment scheme,"671,074.3",GB,GBP
2015,GB-CV8-Agriculture and Horticulture Development Board,Agriculture and Horticulture Development Board,CV8,KENILWORTH,RPA,Vocational training and information actions,"670,385.47",GB,GBP
2014,GB-BT82-LECKPATRICK DEVELOPMENT ASSOCIATION,LECKPATRICK DEVELOPMENT ASSOCIATION,BT82,STRABANE,DARDNI,Implementing local development strategies. Quality of life/diversification,"666,016.49",GB,GBP
2015,GB-DD11-ANGUS GROWERS LTD,ANGUS GROWERS LTD,DD11,ARBROATH,RPA,Aid in fruit and vegetables sector,"656,779.05",GB,GBP
2015,GB-CB6-AL Lee Farming Company,AL Lee Farming Company,CB6,ELY,RPA,Single area payment scheme,"654,929.42",GB,GBP
2014,GB-NR13-Yaregrain PLC,Yaregrain PLC,NR13,NORWICH,RPA,Adding value to agricultural and forestry products,"653,446.28",GB,GBP
2014,GB-NE71-LILBURN ESTATES FARMING PARTNERSHIP,LILBURN ESTATES FARMING PARTNERSHIP,NE71,WOOLER,RPA,Agri-environment payments,"652,381.9",GB,GBP
2015,GB-DG2-G Barbour & Co,G Barbour & Co,DG2,DUMFRIES,SGRPID,Single area payment scheme,"649,306.38",GB,GBP
2015,GB-SN7-COMPTON BEAUCHAMP ESTATES LIMITED,COMPTON BEAUCHAMP ESTATES LIMITED,SN7,FARINGDON,RPA,Single area payment scheme,"640,636.5",GB,GBP
2014,GB-BT38-RAILWAY PRESERVATION SOCIETY OF IRELAND,RAILWAY PRESERVATION SOCIETY OF IRELAND,BT38,CARRICKFERGUS,DARDNI,Implementing local development strategies. Quality of life/diversification,"640,317.03",GB,GBP
2014,GB-BA12-HARLEY FARMS (SOUTH),HARLEY FARMS (SOUTH),BA12,WARMINSTER,RPA,Single area payment scheme,"640,160.48",GB,GBP
2014,GB-IV36-Moray Estates Development Co,Moray Estates Development Co,IV36,Forres,SGRPID,Single area payment scheme,"638,398.1",GB,GBP
2014,GB-PE34-Eaubrink Farm GMBH,Eaubrink Farm GMBH,PE34,KING'S LYNN,RPA,Single area payment scheme,"636,054.64",GB,GBP
2014,GB-RG17-Ridgeway Grain Ltd,Ridgeway Grain Ltd,RG17,HUNGERFORD,RPA,Adding value to agricultural and forestry products,"631,737.71",GB,GBP
2014,GB-BT63-EASIBAKE FOODS LTD,EASIBAKE FOODS LTD,BT63,CO ARMAGH,WG,Adding value to agricultural and forestry products,"628,172.35",GB,GBP
2014,GB-CV37-Heart of England Forest Ltd,Heart of England Forest Ltd,CV37,Stratford-upon-Avon,RPA,First afforestation of agricultural land,"626,617.23",GB,GBP
2014,GB-W1U-Trustees Of The Derek Raphael 1997 Trust,Trustees Of The Derek Raphael 1997 Trust,W1U,London,SGRPID,First afforestation of agricultural land,"625,594.74",GB,GBP
